Asset Type,Date,Usage Time,Last Maintenance Date,Stock Level,Reorder Point,Equipment Status,Usage Pattern
Ventilator,01-09-2023,7,4/24/2023,4,9,Operational,Daily
Surgical Gloves,01-09-2023,12,01-09-2023,9,1,Operational,As needed
Surgical Gloves,01-10-2023,4,01-10-2023,1,4,Operational,As needed
PPE Kit,01-10-2023,4,01-10-2023,1,1,Operational,As needed
X-Ray Machine,01-10-2023,8,01-10-2023,5,3,Operational,As needed
Heart Monitor,01-10-2023,8,01-10-2023,5,3,Operational,As needed
Ventilator,01-10-2023,4,09-09-2023,1,8,Operational,Weekly
MRI Machine,01-10-2023,8,3/19/2023,5,2,Operational,As needed
Anesthesia Machine,01-10-2023,8,01-10-2023,5,3,Operational,As needed
MRI Machine,01-11-2023,10,5/24/2023,7,8,Operational,Daily
Ventilator,01-11-2023,12,03-11-2023,9,8,Under Maintenance,Weekly
X-Ray Machine,01-11-2023,8,01-11-2023,5,3,Operational,As needed
PPE Kit,01-11-2023,12,01-11-2023,9,1,Operational,As needed
Anesthesia Machine,01-11-2023,8,01-11-2023,5,3,Operational,As needed
Surgical Gloves,01-11-2023,6,01-11-2023,3,9,Operational,As needed
Heart Monitor,01-11-2023,8,01-11-2023,5,3,Operational,As needed
Surgical Gloves,01-12-2023,9,01-12-2023,6,4,Operational,As needed
Heart Monitor,01-12-2023,8,01-12-2023,5,3,Operational,As needed
X-Ray Machine,01-12-2023,8,01-12-2023,5,3,Operational,As needed
Anesthesia Machine,01-12-2023,8,01-12-2023,5,3,Operational,As needed
Ventilator,01-12-2023,4,1/19/2023,1,2,Operational,Daily
MRI Machine,01-12-2023,9,2/15/2023,6,2,Operational,As needed
PPE Kit,01-12-2023,11,01-12-2023,8,8,Operational,As needed
Ventilator,1/13/2023,6,12-08-2023,3,6,Operational,Daily
MRI Machine,1/13/2023,5,3/29/2023,2,1,Under Maintenance,Daily
PPE Kit,1/13/2023,8,1/13/2023,5,8,Operational,As needed
Surgical Gloves,1/13/2023,8,1/13/2023,5,5,Operational,As needed
Heart Monitor,1/13/2023,8,1/13/2023,5,3,Operational,As needed
X-Ray Machine,1/13/2023,8,1/13/2023,5,3,Operational,As needed
Anesthesia Machine,1/13/2023,8,1/13/2023,5,3,Operational,As needed
PPE Kit,1/14/2023,8,1/14/2023,5,1,Operational,As needed
X-Ray Machine,1/14/2023,8,1/14/2023,5,3,Operational,As needed
Surgical Gloves,1/14/2023,5,1/14/2023,2,9,Operational,As needed
Anesthesia Machine,1/14/2023,8,1/14/2023,5,3,Operational,As needed
Heart Monitor,1/14/2023,8,1/14/2023,5,3,Operational,As needed
MRI Machine,1/14/2023,4,12/22/2023,1,8,Under Maintenance,Daily
MRI Machine,1/15/2023,7,06-07-2023,4,3,Operational,Daily
X-Ray Machine,1/15/2023,8,1/15/2023,5,3,Operational,As needed
Heart Monitor,1/15/2023,8,1/15/2023,5,3,Operational,As needed
Anesthesia Machine,1/15/2023,8,1/15/2023,5,3,Operational,As needed
PPE Kit,1/15/2023,8,1/15/2023,5,5,Operational,As needed
Ventilator,1/15/2023,5,6/24/2023,2,2,Under Maintenance,Daily
Surgical Gloves,1/15/2023,12,1/15/2023,9,7,Operational,As needed
Ventilator,1/16/2023,4,11/15/2023,1,9,Operational,As needed
MRI Machine,1/16/2023,6,09-10-2023,3,4,Operational,Daily
PPE Kit,1/16/2023,5,1/16/2023,2,2,Operational,As needed
Surgical Gloves,1/16/2023,9,1/16/2023,6,9,Operational,As needed
Heart Monitor,1/16/2023,8,1/16/2023,5,3,Operational,As needed
X-Ray Machine,1/16/2023,8,1/16/2023,5,3,Operational,As needed
Anesthesia Machine,1/16/2023,8,1/16/2023,5,3,Operational,As needed
Anesthesia Machine,1/17/2023,8,1/17/2023,5,3,Operational,As needed
X-Ray Machine,1/17/2023,8,1/17/2023,5,3,Operational,As needed
Heart Monitor,1/17/2023,8,1/17/2023,5,3,Operational,As needed
Ventilator,1/17/2023,5,6/21/2023,2,1,Operational,As needed
MRI Machine,1/17/2023,6,09-06-2023,3,1,Operational,Weekly
PPE Kit,1/17/2023,7,1/17/2023,4,4,Operational,As needed
Surgical Gloves,1/17/2023,12,1/17/2023,9,5,Operational,As needed
MRI Machine,1/18/2023,6,5/15/2023,3,5,Operational,As needed
Ventilator,1/18/2023,7,04-05-2023,4,1,Operational,Weekly
Anesthesia Machine,1/18/2023,8,1/18/2023,5,3,Operational,As needed
X-Ray Machine,1/18/2023,8,1/18/2023,5,3,Operational,As needed
Heart Monitor,1/18/2023,8,1/18/2023,5,3,Operational,As needed
Surgical Gloves,1/18/2023,7,1/18/2023,4,7,Operational,As needed
PPE Kit,1/18/2023,6,1/18/2023,3,1,Operational,As needed
Surgical Gloves,1/19/2023,10,1/19/2023,7,3,Operational,As needed
Heart Monitor,1/19/2023,8,1/19/2023,5,3,Operational,As needed
X-Ray Machine,1/19/2023,8,1/19/2023,5,3,Operational,As needed
Anesthesia Machine,1/19/2023,8,1/19/2023,5,3,Operational,As needed
PPE Kit,1/19/2023,8,1/19/2023,5,3,Operational,As needed
Ventilator,1/19/2023,12,5/25/2023,9,7,Under Maintenance,Daily
Anesthesia Machine,1/20/2023,8,1/20/2023,5,3,Operational,As needed
X-Ray Machine,1/20/2023,8,1/20/2023,5,3,Operational,As needed
Ventilator,1/20/2023,10,09-06-2023,7,1,Operational,Daily
Heart Monitor,1/20/2023,8,1/20/2023,5,3,Operational,As needed
Surgical Gloves,1/20/2023,12,1/20/2023,9,9,Operational,As needed
PPE Kit,1/20/2023,5,1/20/2023,2,8,Operational,As needed
MRI Machine,1/21/2023,5,07-05-2023,2,3,Operational,As needed
Ventilator,1/21/2023,11,07-08-2023,8,4,Operational,Daily
PPE Kit,1/21/2023,5,1/21/2023,2,1,Operational,As needed
Surgical Gloves,1/21/2023,12,1/21/2023,9,1,Operational,As needed
Heart Monitor,1/21/2023,8,1/21/2023,5,3,Operational,As needed
X-Ray Machine,1/21/2023,8,1/21/2023,5,3,Operational,As needed
Anesthesia Machine,1/21/2023,8,1/21/2023,5,3,Operational,As needed
Ventilator,1/22/2023,4,1/25/2023,1,8,Operational,Weekly
MRI Machine,1/22/2023,11,10/26/2023,8,3,Operational,Daily
PPE Kit,1/22/2023,9,1/22/2023,6,6,Operational,As needed
Surgical Gloves,1/22/2023,11,1/22/2023,8,4,Operational,As needed
X-Ray Machine,1/22/2023,8,1/22/2023,5,3,Operational,As needed
Anesthesia Machine,1/22/2023,8,1/22/2023,5,3,Operational,As needed
Heart Monitor,1/22/2023,8,1/22/2023,5,3,Operational,As needed
Heart Monitor,1/23/2023,8,1/23/2023,5,3,Operational,As needed
Ventilator,1/23/2023,4,01-04-2023,1,8,Under Maintenance,Daily
PPE Kit,1/23/2023,4,1/23/2023,1,4,Operational,As needed
Surgical Gloves,1/23/2023,10,1/23/2023,7,7,Operational,As needed
MRI Machine,1/23/2023,8,5/20/2023,5,3,Operational,As needed
X-Ray Machine,1/23/2023,8,1/23/2023,5,3,Operational,As needed
Anesthesia Machine,1/23/2023,8,1/23/2023,5,3,Operational,As needed
MRI Machine,1/24/2023,6,11/17/2023,3,1,Under Maintenance,Daily
Ventilator,1/24/2023,10,12/13/2023,7,2,Under Maintenance,Weekly
PPE Kit,1/24/2023,6,1/24/2023,3,5,Operational,As needed
Surgical Gloves,1/24/2023,11,1/24/2023,8,6,Operational,As needed
Heart Monitor,1/24/2023,8,1/24/2023,5,3,Operational,As needed
X-Ray Machine,1/24/2023,8,1/24/2023,5,3,Operational,As needed
Anesthesia Machine,1/24/2023,8,1/24/2023,5,3,Operational,As needed
PPE Kit,1/25/2023,11,1/25/2023,8,8,Operational,As needed
Surgical Gloves,1/25/2023,11,1/25/2023,8,6,Operational,As needed
Heart Monitor,1/25/2023,8,1/25/2023,5,3,Operational,As needed
X-Ray Machine,1/25/2023,8,1/25/2023,5,3,Operational,As needed
Anesthesia Machine,1/25/2023,8,1/25/2023,5,3,Operational,As needed
Ventilator,1/25/2023,9,2/17/2023,6,3,Operational,Weekly
MRI Machine,1/25/2023,12,03-08-2023,9,5,Operational,As needed
MRI Machine,1/26/2023,10,03-05-2023,7,9,Under Maintenance,Daily
PPE Kit,1/26/2023,8,1/26/2023,5,7,Operational,As needed
Surgical Gloves,1/26/2023,9,1/26/2023,6,5,Operational,As needed
Heart Monitor,1/26/2023,8,1/26/2023,5,3,Operational,As needed
X-Ray Machine,1/26/2023,8,1/26/2023,5,3,Operational,As needed
Anesthesia Machine,1/26/2023,8,1/26/2023,5,3,Operational,As needed
Ventilator,1/26/2023,10,8/20/2023,7,6,Operational,As needed
Surgical Gloves,1/27/2023,8,1/27/2023,5,7,Operational,As needed
Anesthesia Machine,1/27/2023,8,1/27/2023,5,3,Operational,As needed
X-Ray Machine,1/27/2023,8,1/27/2023,5,3,Operational,As needed
PPE Kit,1/27/2023,12,1/27/2023,9,4,Operational,As needed
Heart Monitor,1/27/2023,8,1/27/2023,5,3,Operational,As needed
Anesthesia Machine,1/28/2023,8,1/28/2023,5,3,Operational,As needed
Heart Monitor,1/28/2023,8,1/28/2023,5,3,Operational,As needed
Surgical Gloves,1/28/2023,12,1/28/2023,9,5,Operational,As needed
PPE Kit,1/28/2023,8,1/28/2023,5,4,Operational,As needed
Ventilator,1/28/2023,10,7/20/2023,7,8,Under Maintenance,As needed
X-Ray Machine,1/28/2023,8,1/28/2023,5,3,Operational,As needed
MRI Machine,1/29/2023,7,5/18/2023,4,5,Operational,Daily
PPE Kit,1/29/2023,10,1/29/2023,7,7,Operational,As needed
Surgical Gloves,1/29/2023,6,1/29/2023,3,9,Operational,As needed
Heart Monitor,1/29/2023,8,1/29/2023,5,3,Operational,As needed
X-Ray Machine,1/29/2023,8,1/29/2023,5,3,Operational,As needed
Anesthesia Machine,1/29/2023,8,1/29/2023,5,3,Operational,As needed
PPE Kit,1/30/2023,12,1/30/2023,9,6,Operational,As needed
Surgical Gloves,1/30/2023,5,1/30/2023,2,5,Operational,As needed
Heart Monitor,1/30/2023,8,1/30/2023,5,3,Operational,As needed
Anesthesia Machine,1/30/2023,8,1/30/2023,5,3,Operational,As needed
Ventilator,1/30/2023,7,1/20/2023,4,6,Operational,Weekly
MRI Machine,1/30/2023,7,3/28/2023,4,9,Under Maintenance,As needed
X-Ray Machine,1/30/2023,8,1/30/2023,5,3,Operational,As needed
PPE Kit,1/31/2023,10,1/31/2023,7,6,Operational,As needed
Ventilator,1/31/2023,12,05-01-2023,9,8,Operational,Daily
MRI Machine,1/31/2023,4,10-07-2023,1,9,Operational,As needed
Surgical Gloves,1/31/2023,8,1/31/2023,5,6,Operational,As needed
Heart Monitor,1/31/2023,8,1/31/2023,5,3,Operational,As needed
X-Ray Machine,1/31/2023,8,1/31/2023,5,3,Operational,As needed
Anesthesia Machine,1/31/2023,8,1/31/2023,5,3,Operational,As needed
X-Ray Machine,02-01-2023,8,02-01-2023,5,3,Operational,As needed
MRI Machine,02-01-2023,6,03-03-2023,3,6,Operational,Weekly
PPE Kit,02-01-2023,9,02-01-2023,6,4,Operational,As needed
Surgical Gloves,02-01-2023,4,02-01-2023,1,8,Operational,As needed
Heart Monitor,02-01-2023,8,02-01-2023,5,3,Operational,As needed
Anesthesia Machine,02-01-2023,8,02-01-2023,5,3,Operational,As needed
Anesthesia Machine,02-02-2023,8,02-02-2023,5,3,Operational,As needed
X-Ray Machine,02-02-2023,8,02-02-2023,5,3,Operational,As needed
Heart Monitor,02-02-2023,8,02-02-2023,5,3,Operational,As needed
Surgical Gloves,02-02-2023,7,02-02-2023,4,6,Operational,As needed
PPE Kit,02-02-2023,8,02-02-2023,5,2,Operational,As needed
MRI Machine,02-02-2023,5,02-05-2023,2,9,Under Maintenance,Weekly
X-Ray Machine,02-03-2023,8,02-03-2023,5,3,Operational,As needed
Ventilator,02-03-2023,12,02-05-2023,9,2,Operational,As needed
PPE Kit,02-03-2023,4,02-03-2023,1,5,Operational,As needed
Surgical Gloves,02-03-2023,8,02-03-2023,5,3,Operational,As needed
Heart Monitor,02-03-2023,8,02-03-2023,5,3,Operational,As needed
Anesthesia Machine,02-03-2023,8,02-03-2023,5,3,Operational,As needed
PPE Kit,02-04-2023,12,02-04-2023,9,9,Operational,As needed
X-Ray Machine,02-04-2023,8,02-04-2023,5,3,Operational,As needed
Surgical Gloves,02-04-2023,12,02-04-2023,9,7,Operational,As needed
Heart Monitor,02-04-2023,8,02-04-2023,5,3,Operational,As needed
MRI Machine,02-04-2023,9,10/21/2023,6,4,Operational,Daily
Anesthesia Machine,02-04-2023,8,02-04-2023,5,3,Operational,As needed
X-Ray Machine,02-05-2023,8,02-05-2023,5,3,Operational,As needed
Heart Monitor,02-05-2023,8,02-05-2023,5,3,Operational,As needed
Surgical Gloves,02-05-2023,9,02-05-2023,6,7,Operational,As needed
Anesthesia Machine,02-05-2023,8,02-05-2023,5,3,Operational,As needed
MRI Machine,02-05-2023,11,03-10-2023,8,9,Under Maintenance,Daily
Ventilator,02-05-2023,12,10/21/2023,9,7,Operational,As needed
PPE Kit,02-05-2023,9,02-05-2023,6,1,Operational,As needed
Ventilator,02-06-2023,12,03-10-2023,9,7,Under Maintenance,Daily
MRI Machine,02-06-2023,11,11/24/2023,8,4,Operational,Weekly
PPE Kit,02-06-2023,5,02-06-2023,2,1,Operational,As needed
Surgical Gloves,02-06-2023,10,02-06-2023,7,1,Operational,As needed
Heart Monitor,02-06-2023,8,02-06-2023,5,3,Operational,As needed
X-Ray Machine,02-06-2023,8,02-06-2023,5,3,Operational,As needed
Anesthesia Machine,02-06-2023,8,02-06-2023,5,3,Operational,As needed
Ventilator,02-07-2023,8,9/29/2023,5,1,Under Maintenance,Daily
Anesthesia Machine,02-07-2023,8,02-07-2023,5,3,Operational,As needed
X-Ray Machine,02-07-2023,8,02-07-2023,5,3,Operational,As needed
Heart Monitor,02-07-2023,8,02-07-2023,5,3,Operational,As needed
Surgical Gloves,02-07-2023,5,02-07-2023,2,1,Operational,As needed
PPE Kit,02-07-2023,8,02-07-2023,5,6,Operational,As needed
PPE Kit,02-08-2023,7,02-08-2023,4,5,Operational,As needed
Surgical Gloves,02-08-2023,11,02-08-2023,8,2,Operational,As needed
Heart Monitor,02-08-2023,8,02-08-2023,5,3,Operational,As needed
X-Ray Machine,02-08-2023,8,02-08-2023,5,3,Operational,As needed
Anesthesia Machine,02-08-2023,8,02-08-2023,5,3,Operational,As needed
Ventilator,02-08-2023,10,5/13/2023,7,4,Under Maintenance,As needed
MRI Machine,02-08-2023,4,3/20/2023,1,7,Operational,Daily
PPE Kit,02-09-2023,12,02-09-2023,9,2,Operational,As needed
Anesthesia Machine,02-09-2023,8,02-09-2023,5,3,Operational,As needed
X-Ray Machine,02-09-2023,8,02-09-2023,5,3,Operational,As needed
Heart Monitor,02-09-2023,8,02-09-2023,5,3,Operational,As needed
Surgical Gloves,02-09-2023,4,02-09-2023,1,8,Operational,As needed
Ventilator,02-09-2023,6,7/28/2023,3,8,Operational,Weekly
Surgical Gloves,02-10-2023,9,02-10-2023,6,9,Operational,As needed
Heart Monitor,02-10-2023,8,02-10-2023,5,3,Operational,As needed
X-Ray Machine,02-10-2023,8,02-10-2023,5,3,Operational,As needed
Anesthesia Machine,02-10-2023,8,02-10-2023,5,3,Operational,As needed
MRI Machine,02-10-2023,9,3/17/2023,6,7,Under Maintenance,As needed
PPE Kit,02-10-2023,5,02-10-2023,2,3,Operational,As needed
Ventilator,02-10-2023,5,10/16/2023,2,7,Operational,As needed
MRI Machine,02-11-2023,12,6/14/2023,9,8,Operational,As needed
Ventilator,02-11-2023,11,5/26/2023,8,8,Under Maintenance,Weekly
Heart Monitor,02-11-2023,8,02-11-2023,5,3,Operational,As needed
Surgical Gloves,02-11-2023,8,02-11-2023,5,6,Operational,As needed
PPE Kit,02-11-2023,12,02-11-2023,9,5,Operational,As needed
Anesthesia Machine,02-11-2023,8,02-11-2023,5,3,Operational,As needed
X-Ray Machine,02-11-2023,8,02-11-2023,5,3,Operational,As needed
Ventilator,02-12-2023,8,4/16/2023,5,3,Under Maintenance,Daily
PPE Kit,02-12-2023,4,02-12-2023,1,2,Operational,As needed
Surgical Gloves,02-12-2023,4,02-12-2023,1,6,Operational,As needed
Heart Monitor,02-12-2023,8,02-12-2023,5,3,Operational,As needed
X-Ray Machine,02-12-2023,8,02-12-2023,5,3,Operational,As needed
Anesthesia Machine,02-12-2023,8,02-12-2023,5,3,Operational,As needed
MRI Machine,02-12-2023,7,11-10-2023,4,9,Operational,Weekly
MRI Machine,2/13/2023,5,10-04-2023,2,6,Operational,Daily
Anesthesia Machine,2/13/2023,8,2/13/2023,5,3,Operational,As needed
Ventilator,2/13/2023,6,9/26/2023,3,8,Operational,Daily
Heart Monitor,2/13/2023,8,2/13/2023,5,3,Operational,As needed
Surgical Gloves,2/13/2023,9,2/13/2023,6,5,Operational,As needed
X-Ray Machine,2/13/2023,8,2/13/2023,5,3,Operational,As needed
PPE Kit,2/13/2023,4,2/13/2023,1,9,Operational,As needed
MRI Machine,2/14/2023,9,9/30/2023,6,8,Under Maintenance,As needed
Ventilator,2/14/2023,8,9/15/2023,5,6,Under Maintenance,Daily
Heart Monitor,2/14/2023,8,2/14/2023,5,3,Operational,As needed
Surgical Gloves,2/14/2023,6,2/14/2023,3,9,Operational,As needed
X-Ray Machine,2/14/2023,8,2/14/2023,5,3,Operational,As needed
Anesthesia Machine,2/14/2023,8,2/14/2023,5,3,Operational,As needed
PPE Kit,2/14/2023,7,2/14/2023,4,1,Operational,As needed
Anesthesia Machine,2/15/2023,8,2/15/2023,5,3,Operational,As needed
Heart Monitor,2/15/2023,8,2/15/2023,5,3,Operational,As needed
Surgical Gloves,2/15/2023,10,2/15/2023,7,4,Operational,As needed
X-Ray Machine,2/15/2023,8,2/15/2023,5,3,Operational,As needed
MRI Machine,2/15/2023,12,1/23/2023,9,4,Under Maintenance,Weekly
PPE Kit,2/15/2023,7,2/15/2023,4,8,Operational,As needed
Ventilator,2/16/2023,5,05-03-2023,2,6,Under Maintenance,Daily
MRI Machine,2/16/2023,4,11/16/2023,1,5,Operational,Daily
PPE Kit,2/16/2023,7,2/16/2023,4,6,Operational,As needed
Surgical Gloves,2/16/2023,9,2/16/2023,6,5,Operational,As needed
Heart Monitor,2/16/2023,8,2/16/2023,5,3,Operational,As needed
X-Ray Machine,2/16/2023,8,2/16/2023,5,3,Operational,As needed
Anesthesia Machine,2/16/2023,8,2/16/2023,5,3,Operational,As needed
Ventilator,2/17/2023,6,8/29/2023,3,7,Under Maintenance,Weekly
PPE Kit,2/17/2023,8,2/17/2023,5,9,Operational,As needed
Surgical Gloves,2/17/2023,4,2/17/2023,1,2,Operational,As needed
Heart Monitor,2/17/2023,8,2/17/2023,5,3,Operational,As needed
X-Ray Machine,2/17/2023,8,2/17/2023,5,3,Operational,As needed
MRI Machine,2/17/2023,10,4/19/2023,7,9,Under Maintenance,As needed
Anesthesia Machine,2/17/2023,8,2/17/2023,5,3,Operational,As needed
X-Ray Machine,2/18/2023,8,2/18/2023,5,3,Operational,As needed
Heart Monitor,2/18/2023,8,2/18/2023,5,3,Operational,As needed
PPE Kit,2/18/2023,5,2/18/2023,2,4,Operational,As needed
Surgical Gloves,2/18/2023,10,2/18/2023,7,7,Operational,As needed
Anesthesia Machine,2/18/2023,8,2/18/2023,5,3,Operational,As needed
Ventilator,2/18/2023,12,1/17/2023,9,2,Operational,As needed
MRI Machine,2/18/2023,7,11/25/2023,4,5,Operational,Weekly
Anesthesia Machine,2/19/2023,8,2/19/2023,5,3,Operational,As needed
Heart Monitor,2/19/2023,8,2/19/2023,5,3,Operational,As needed
X-Ray Machine,2/19/2023,8,2/19/2023,5,3,Operational,As needed
Ventilator,2/19/2023,6,10/23/2023,3,7,Operational,Daily
PPE Kit,2/19/2023,12,2/19/2023,9,9,Operational,As needed
Surgical Gloves,2/19/2023,6,2/19/2023,3,3,Operational,As needed
MRI Machine,2/19/2023,4,12/20/2023,1,9,Operational,As needed
Anesthesia Machine,2/20/2023,8,2/20/2023,5,3,Operational,As needed
Heart Monitor,2/20/2023,8,2/20/2023,5,3,Operational,As needed
X-Ray Machine,2/20/2023,8,2/20/2023,5,3,Operational,As needed
PPE Kit,2/20/2023,9,2/20/2023,6,5,Operational,As needed
MRI Machine,2/20/2023,5,6/19/2023,2,9,Under Maintenance,Weekly
Ventilator,2/20/2023,9,04-06-2023,6,5,Under Maintenance,Weekly
Surgical Gloves,2/20/2023,4,2/20/2023,1,3,Operational,As needed
Ventilator,2/21/2023,9,04-11-2023,6,5,Under Maintenance,As needed
Surgical Gloves,2/21/2023,5,2/21/2023,2,2,Operational,As needed
Anesthesia Machine,2/21/2023,8,2/21/2023,5,3,Operational,As needed
X-Ray Machine,2/21/2023,8,2/21/2023,5,3,Operational,As needed
Heart Monitor,2/21/2023,8,2/21/2023,5,3,Operational,As needed
PPE Kit,2/21/2023,9,2/21/2023,6,3,Operational,As needed
PPE Kit,2/22/2023,12,2/22/2023,9,5,Operational,As needed
X-Ray Machine,2/22/2023,8,2/22/2023,5,3,Operational,As needed
Anesthesia Machine,2/22/2023,8,2/22/2023,5,3,Operational,As needed
MRI Machine,2/22/2023,6,09-06-2023,3,7,Under Maintenance,Weekly
Surgical Gloves,2/22/2023,5,2/22/2023,2,9,Operational,As needed
Heart Monitor,2/22/2023,8,2/22/2023,5,3,Operational,As needed
PPE Kit,2/23/2023,11,2/23/2023,8,1,Operational,As needed
Surgical Gloves,2/23/2023,4,2/23/2023,1,1,Operational,As needed
Heart Monitor,2/23/2023,8,2/23/2023,5,3,Operational,As needed
X-Ray Machine,2/23/2023,8,2/23/2023,5,3,Operational,As needed
Anesthesia Machine,2/23/2023,8,2/23/2023,5,3,Operational,As needed
Ventilator,2/23/2023,11,3/30/2023,8,2,Under Maintenance,As needed
Ventilator,2/24/2023,11,06-04-2023,8,3,Operational,Weekly
MRI Machine,2/24/2023,9,9/30/2023,6,9,Under Maintenance,Weekly
Heart Monitor,2/24/2023,8,2/24/2023,5,3,Operational,As needed
Anesthesia Machine,2/24/2023,8,2/24/2023,5,3,Operational,As needed
X-Ray Machine,2/24/2023,8,2/24/2023,5,3,Operational,As needed
Surgical Gloves,2/24/2023,6,2/24/2023,3,4,Operational,As needed
PPE Kit,2/24/2023,5,2/24/2023,2,3,Operational,As needed
Ventilator,2/25/2023,9,3/16/2023,6,1,Operational,Weekly
Anesthesia Machine,2/25/2023,8,2/25/2023,5,3,Operational,As needed
X-Ray Machine,2/25/2023,8,2/25/2023,5,3,Operational,As needed
Heart Monitor,2/25/2023,8,2/25/2023,5,3,Operational,As needed
Surgical Gloves,2/25/2023,10,2/25/2023,7,4,Operational,As needed
PPE Kit,2/25/2023,10,2/25/2023,7,9,Operational,As needed
Heart Monitor,2/26/2023,8,2/26/2023,5,3,Operational,As needed
MRI Machine,2/26/2023,8,3/17/2023,5,3,Operational,As needed
Ventilator,2/26/2023,11,10-11-2023,8,8,Under Maintenance,As needed
X-Ray Machine,2/26/2023,8,2/26/2023,5,3,Operational,As needed
Surgical Gloves,2/26/2023,4,2/26/2023,1,3,Operational,As needed
Anesthesia Machine,2/26/2023,8,2/26/2023,5,3,Operational,As needed
PPE Kit,2/26/2023,8,2/26/2023,5,9,Operational,As needed
Heart Monitor,2/27/2023,8,2/27/2023,5,3,Operational,As needed
Ventilator,2/27/2023,11,04-10-2023,8,6,Operational,Weekly
MRI Machine,2/27/2023,4,6/21/2023,1,8,Operational,As needed
Surgical Gloves,2/27/2023,6,2/27/2023,3,2,Operational,As needed
PPE Kit,2/27/2023,10,2/27/2023,7,9,Operational,As needed
X-Ray Machine,2/27/2023,8,2/27/2023,5,3,Operational,As needed
Anesthesia Machine,2/27/2023,8,2/27/2023,5,3,Operational,As needed
Surgical Gloves,2/28/2023,10,2/28/2023,7,1,Operational,As needed
Ventilator,2/28/2023,4,1/19/2023,1,2,Operational,Weekly
Anesthesia Machine,2/28/2023,8,2/28/2023,5,3,Operational,As needed
X-Ray Machine,2/28/2023,8,2/28/2023,5,3,Operational,As needed
Heart Monitor,2/28/2023,8,2/28/2023,5,3,Operational,As needed
MRI Machine,2/28/2023,5,3/17/2023,2,1,Operational,As needed
PPE Kit,2/28/2023,9,2/28/2023,6,9,Operational,As needed
Ventilator,03-01-2023,10,8/16/2023,7,7,Under Maintenance,Daily
MRI Machine,03-01-2023,11,10-11-2023,8,7,Under Maintenance,Daily
Heart Monitor,03-01-2023,8,03-01-2023,5,3,Operational,As needed
PPE Kit,03-01-2023,12,03-01-2023,9,2,Operational,As needed
Anesthesia Machine,03-01-2023,8,03-01-2023,5,3,Operational,As needed
X-Ray Machine,03-01-2023,8,03-01-2023,5,3,Operational,As needed
Surgical Gloves,03-01-2023,12,03-01-2023,9,6,Operational,As needed
MRI Machine,03-02-2023,5,6/25/2023,2,2,Under Maintenance,Weekly
Ventilator,03-02-2023,6,12-11-2023,3,7,Operational,Daily
Anesthesia Machine,03-02-2023,8,03-02-2023,5,3,Operational,As needed
PPE Kit,03-02-2023,9,03-02-2023,6,6,Operational,As needed
Surgical Gloves,03-02-2023,7,03-02-2023,4,3,Operational,As needed
Heart Monitor,03-02-2023,8,03-02-2023,5,3,Operational,As needed
X-Ray Machine,03-02-2023,8,03-02-2023,5,3,Operational,As needed
X-Ray Machine,03-03-2023,8,03-03-2023,5,3,Operational,As needed
PPE Kit,03-03-2023,9,03-03-2023,6,1,Operational,As needed
Surgical Gloves,03-03-2023,12,03-03-2023,9,7,Operational,As needed
Anesthesia Machine,03-03-2023,8,03-03-2023,5,3,Operational,As needed
Heart Monitor,03-03-2023,8,03-03-2023,5,3,Operational,As needed
PPE Kit,03-04-2023,4,03-04-2023,1,1,Operational,As needed
Surgical Gloves,03-04-2023,5,03-04-2023,2,9,Operational,As needed
Heart Monitor,03-04-2023,8,03-04-2023,5,3,Operational,As needed
X-Ray Machine,03-04-2023,8,03-04-2023,5,3,Operational,As needed
MRI Machine,03-04-2023,4,02-08-2023,1,9,Operational,As needed
Ventilator,03-04-2023,10,11/30/2023,7,1,Under Maintenance,Weekly
Anesthesia Machine,03-04-2023,8,03-04-2023,5,3,Operational,As needed
Ventilator,03-05-2023,9,4/15/2023,6,7,Under Maintenance,Daily
MRI Machine,03-05-2023,12,9/19/2023,9,8,Under Maintenance,Weekly
X-Ray Machine,03-05-2023,8,03-05-2023,5,3,Operational,As needed
Heart Monitor,03-05-2023,8,03-05-2023,5,3,Operational,As needed
Anesthesia Machine,03-05-2023,8,03-05-2023,5,3,Operational,As needed
PPE Kit,03-05-2023,9,03-05-2023,6,9,Operational,As needed
Surgical Gloves,03-05-2023,6,03-05-2023,3,5,Operational,As needed
PPE Kit,03-06-2023,12,03-06-2023,9,9,Operational,As needed
Surgical Gloves,03-06-2023,8,03-06-2023,5,9,Operational,As needed
Heart Monitor,03-06-2023,8,03-06-2023,5,3,Operational,As needed
X-Ray Machine,03-06-2023,8,03-06-2023,5,3,Operational,As needed
Anesthesia Machine,03-06-2023,8,03-06-2023,5,3,Operational,As needed
MRI Machine,03-06-2023,9,08-09-2023,6,5,Operational,Daily
X-Ray Machine,03-07-2023,8,03-07-2023,5,3,Operational,As needed
Surgical Gloves,03-07-2023,8,03-07-2023,5,7,Operational,As needed
PPE Kit,03-07-2023,8,03-07-2023,5,1,Operational,As needed
Anesthesia Machine,03-07-2023,8,03-07-2023,5,3,Operational,As needed
Heart Monitor,03-07-2023,8,03-07-2023,5,3,Operational,As needed
PPE Kit,03-08-2023,7,03-08-2023,4,7,Operational,As needed
Surgical Gloves,03-08-2023,10,03-08-2023,7,3,Operational,As needed
Heart Monitor,03-08-2023,8,03-08-2023,5,3,Operational,As needed
